id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
101552,22594,Armored Core: Formula Front,NULL,2004-12-12 00:00:00.000,NULL,NULL,60.0000,1,NULL,NULL
131213,46022,Armored Core: Formula Front - Extreme Battle,NULL,2005-11-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8469,19410,Armored Core: Last Raven,NULL,2005-08-04 00:00:00.000,1,NULL,50.5000,2,NULL,NULL
8627,23146,Armored Core: Nine Breaker,NULL,2004-10-28 00:00:00.000,NULL,NULL,47.5000,3,NULL,NULL
62816,2702,Army Men: Sarge's War,NULL,2004-07-23 00:00:00.000,NULL,NULL,46.0000,2,56.0000,4
40663,52426,Army Racer,NULL,2005-12-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
35666,52425,Army Ranger: Mogadishu,NULL,2005-05-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
172495,6309,Around the World in 80 Days,NULL,2004-07-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34979,70686,Artificial Girl,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96033,19808,Artificial Girl 2,NULL,2004-11-26 00:00:00.000,8,NULL,NULL,NULL,NULL,NULL
99388,144322,AruaROSE,"The seven planets of the world of ROSE Online were created by the goddess Arua. However, Hebarn, the god of malice, took over the seventh planet and renamed it after himself. To protect the other planets from Hebarn, Arua created the Visitors and sent them to Junon, the first planet of Rose Online.",2005-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
189858,6259,Ashen,NULL,2004-05-25 00:00:00.000,NULL,NULL,80.0000,2,NULL,NULL
6694,6260,Asphalt: Urban GT,NULL,2004-11-15 00:00:00.000,1,NULL,30.0000,3,79.1684,7
107477,6261,Asphalt: Urban GT 2,NULL,2005-11-30 00:00:00.000,NULL,NULL,40.0000,2,60.5733,5
30060,21064,Assault Suits Valken,NULL,2004-07-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
176872,210711,Asterix & Obelix XXL,NULL,2004-06-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
168387,94269,Asteroids / Pong / Yars' Revenge,NULL,2005-08-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8848,23001,Astonishia Story,NULL,2005-08-12 00:00:00.000,NULL,NULL,45.0000,3,NULL,NULL
137458,140983,Astral Masters,NULL,2005-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34917,185884,Atari Legends Vol. 1,NULL,2005-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
189068,47570,Atari Masterpieces Vol. I,NULL,2005-10-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
149782,220073,Atari Paddle Controller TV Game System,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
52712,20510,Atelier Iris 2: The Azoth of Destiny,NULL,2005-05-26 00:00:00.000,2,NULL,66.6667,3,73.8084,6
